"Date","Price"
"02/01/2024","104.61"
"01/01/2024","102.05"
"12/01/2023","101.77"
"11/01/2023","98.02"
"10/01/2023","90.02"
"09/01/2023","92.37"
"08/01/2023","96.50"
"07/01/2023","99.39"
"06/01/2023","95.94"
"05/01/2023","91.62"
"04/01/2023","92.59"
"03/01/2023","91.16"
"02/01/2023","88.22"
"01/01/2023","91.25"
"12/01/2022","84.88"
"11/01/2022","89.67"
"10/01/2022","82.77"
"09/01/2022","77.83"
"08/01/2022","85.90"
"07/01/2022","89.82"
"06/01/2022","83.89"
"05/01/2022","92.14"
"04/01/2022","91.73"
"03/01/2022","99.78"
"02/01/2022","97.88"
"01/01/2022","100.97"
"12/01/2021","105.78"
"11/01/2021","102.88"
"10/01/2021","105.31"
"09/01/2021","99.92"
"08/01/2021","104.33"
"07/01/2021","102.11"
"06/01/2021","101.19"
"05/01/2021","100.65"
"04/01/2021","99.19"
"03/01/2021","95.15"
"02/01/2021","92.51"
"01/01/2021","90.44"
"12/01/2020","90.72"
"11/01/2020","87.33"
"10/01/2020","78.14"
"09/01/2020","79.92"
"08/01/2020","82.35"
"07/01/2020","77.67"
"06/01/2020","73.72"
"05/01/2020","72.22"
"04/01/2020","68.72"
"03/01/2020","62.57"
"02/01/2020","72.26"
"01/01/2020","78.11"
"12/01/2019","79.25"
"11/01/2019","77.54"
"10/01/2019","75.77"
"09/01/2019","73.75"
"08/01/2019","72.13"
"07/01/2019","73.76"
"06/01/2019","73.71"
"05/01/2019","70.09"
"04/01/2019","74.62"
"03/01/2019","72.15"
"02/01/2019","71.03"
"01/01/2019","69.32"
"12/01/2018","64.16"
"11/01/2018","69.83"
"10/01/2018","68.74"
"09/01/2018","74.26"
"08/01/2018","73.81"
"07/01/2018","73.30"
"06/01/2018","71.12"
"05/01/2018","72.33"
"04/01/2018","71.99"
"03/01/2018","71.70"
"02/01/2018","72.79"
"01/01/2018","76.20"
"12/01/2017","72.09"
"11/01/2017","71.72"
"10/01/2017","70.30"
"09/01/2017","68.82"
"08/01/2017","67.55"
"07/01/2017","67.28"
"06/01/2017","65.49"
"05/01/2017","65.70"
"04/01/2017","64.28"
"03/01/2017","63.26"
"02/01/2017","62.42"
"01/01/2017","60.89"
"12/01/2016","59.17"
"11/01/2016","58.57"
"10/01/2016","57.97"
"09/01/2016","59.10"
"08/01/2016","58.55"
"07/01/2016","58.35"
"06/01/2016","56.23"
"05/01/2016","57.00"
"04/01/2016","56.81"
"03/01/2016","56.06"
"02/01/2016","52.20"
"01/01/2016","52.86"
"12/01/2015","55.82"
"11/01/2015","57.76"
"10/01/2015","58.07"
"09/01/2015","53.94"
"08/01/2015","55.86"
"07/01/2015","59.94"
"06/01/2015","59.45"
"05/01/2015","61.74"
"04/01/2015","61.74"
"03/01/2015","60.02"
"02/01/2015","60.91"
"01/01/2015","57.73"
"12/01/2014","58.50"
"11/01/2014","60.43"
"10/01/2014","59.61"
"09/01/2014","58.90"
"08/01/2014","60.92"
"07/01/2014","59.39"
"06/01/2014","60.26"
"05/01/2014","60.01"
"04/01/2014","58.83"
"03/01/2014","58.14"
"02/01/2014","57.81"
"01/01/2014","54.95"
"12/01/2013","57.62"
"11/01/2013","56.92"
"10/01/2013","56.05"
"09/01/2013","53.92"
"08/01/2013","51.09"
"07/01/2013","52.29"
"06/01/2013","50.00"
"05/01/2013","51.99"
"04/01/2013","52.19"
"03/01/2013","50.75"
"02/01/2013","49.84"
"01/01/2013","49.89"
"12/01/2012","48.08"
"11/01/2012","47.19"
"10/01/2012","46.45"
"09/01/2012","46.69"
"08/01/2012","45.46"
"07/01/2012","44.23"
"06/01/2012","43.87"
"05/01/2012","42.33"
"04/01/2012","46.66"
"03/01/2012","47.20"
"02/01/2012","46.68"
"01/01/2012","44.48"
"12/01/2011","42.17"
"11/01/2011","43.05"
"10/01/2011","43.55"
"09/01/2011","39.12"
"08/01/2011","43.68"
"07/01/2011","47.15"
"06/01/2011","48.25"
"05/01/2011","49.70"
"04/01/2011","50.69"
"03/01/2011","48.36"
"02/01/2011","48.78"
"01/01/2011","47.31"
"12/01/2010","46.81"
"11/01/2010","43.85"
"10/01/2010","44.83"
"09/01/2010","43.21"
"08/01/2010","39.35"
"07/01/2010","41.11"
"06/01/2010","37.60"
"05/01/2010","39.34"
"04/01/2010","43.41"
"03/01/2010","43.51"
"02/01/2010","40.92"
"01/01/2010","40.05"
"12/01/2009","42.29"
"11/01/2009","41.79"
"10/01/2009","39.65"
"09/01/2009","40.75"
"08/01/2009","38.86"
"07/01/2009","37.74"
"06/01/2009","34.49"
"05/01/2009","35.30"
"04/01/2009","31.95"
"03/01/2009","28.33"
"02/01/2009","25.94"
"01/01/2009","28.73"
"12/01/2008","32.42"
"11/01/2008","30.74"
"10/01/2008","33.69"
"09/01/2008","41.29"
"08/01/2008","47.06"
"07/01/2008","47.86"
"06/01/2008","49.42"
"05/01/2008","53.71"
"04/01/2008","53.25"
